,Firstname,Surname,Born,Died,Born country,Gender,Year,Category,Motivation
647,Corneille,Heymans,1892-03-28,1968-07-18,Belgium,male,1938,Medicine,"""for the discovery of the role played by the sinus and aortic mechanisms in the regulation of respiration"""
648,Egas,Moniz,1874-11-29,1955-12-13,Portugal,male,1949,Medicine,"""for his discovery of the therapeutic value of leucotomy in certain psychoses"""
649,Georg,von Békésy,1899-06-03,1972-06-13,Hungary,male,1961,Medicine,"""for his discoveries of the physical mechanism of stimulation within the cochlea"""
650,Keffer,Hartline,1903-12-22,1983-03-17,USA,male,1967,Medicine,"""for their discoveries concerning the primary physiological and chemical visual processes in the eye"""
651,Harold E.,Varmus,1939-12-18,,USA,male,1989,Medicine,"""for their discovery of the cellular origin of retroviral oncogenes"""
652,Eric F.,Wieschaus,1947-06-08,,USA,male,1995,Medicine,"""for their discoveries concerning the genetic control of early embryonic development"""
653,Oliver E.,Williamson,1932-09-27,,USA,male,2009,Economics,"""for his analysis of economic governance especially the boundaries of the firm"""
654,Michael W.,Young,1949-03-28,,USA,male,2017,Medicine,"""for their discoveries of molecular mechanisms controlling the circadian rhythm"""
655,John,Goodenough,1922-07-25,,Germany,male,2019,Chemistry,"""for the development of lithium-ion batteries"""
656,Peter,Handke,1942-12-06,,Austria,male,2019,Literature,"""for an influential work that with linguistic ingenuity has explored the periphery and the specificity of human experience"""
657,Ardem,Patapoutian,,,Lebanon,male,2021,Medicine,"""for their discoveries of receptors for temperature and touch"""
658,Syukuro,Manabe,1931-09-21,,Japan,male,2021,Physics,"""for the physical modelling of Earth’s climate quantifying variability and reliably predicting global warming"""
659,Pieter,Zeeman,1865-05-25,1943-10-09,the Netherlands,male,1902,Physics,"""in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena"""
660,Charles Glover,Barkla,1877-06-07,1944-10-23,United Kingdom,male,1917,Physics,"""for his discovery of the characteristic R&ouml;ntgen radiation of the elements"""
661,Sir Chandrasekhara Venkata,Raman,1888-11-07,1970-11-21,India,male,1930,Physics,"""for his work on the scattering of light and for the discovery of the effect named after him"""
662,Rudolf,Mössbauer,1929-01-31,2011-09-14,Germany,male,1961,Physics,"""for his researches concerning the resonance absorption of gamma radiation and his discovery in this connection of the effect which bears his name"""
663,Antony,Hewish,1924-05-11,2021-09-13,United Kingdom,male,1974,Physics,"""for their pioneering research in radio astrophysics: Ryle for his observations and inventions in particular of the aperture synthesis technique and Hewish for his decisive role in the discovery of pulsars"""
664,David,MacMillan,1968-03-16,,United Kingdom,male,2021,Chemistry,"""for the development of asymmetric organocatalysis"""
665,Venkatraman,Ramakrishnan,,,India,male,2009,Chemistry,"""for studies of the structure and function of the ribosome"""
666,Jules A.,Hoffmann,1941-08-02,,Luxembourg,male,2011,Medicine,"""for their discoveries concerning the activation of innate immunity"""
667,Robert J.,Lefkowitz,1943-04-15,,USA,male,2012,Chemistry,"""for studies of G-protein-coupled receptors"""
668,Peter,Higgs,1929-05-29,,United Kingdom,male,2013,Physics,"""for the theoretical discovery of a mechanism that contributes to our understanding of the origin of mass of subatomic particles and which recently was confirmed through the discovery of the predicted fundamental particle by the ATLAS and CMS experiments at CERN's Large Hadron Collider"""
669,Satoshi,Ōmura,1935-07-12,,Japan,male,2015,Medicine,"""for their discoveries concerning a novel therapy against infections caused by roundworm parasites"""
670,Philipp,Lenard,1862-06-07,1947-05-20,Slovakia,male,1905,Physics,"""for his work on cathode rays"""
671,James,Franck,1882-08-26,1964-05-21,Germany,male,1925,Physics,"""for their discovery of the laws governing the impact of an electron upon an atom"""
672,Frits,Zernike,1888-07-16,1966-03-10,the Netherlands,male,1953,Physics,"""for his demonstration of the phase contrast method especially for his invention of the phase contrast microscope"""
673,Donald A.,Glaser,1926-09-21,2013-02-28,USA,male,1960,Physics,"""for the invention of the bubble chamber"""
674,Élie,Ducommun,1833-02-19,1906-12-07,Switzerland,male,1902,Peace,"""for his untiring and skilful directorship of the Bern Peace Bureau"""
675,Albert,Gobat,1843-05-21,1914-03-16,Switzerland,male,1902,Peace,"""for his eminently practical administration of the Inter-Parliamentary Union"""
676,Louis,Renault,1843-05-21,1918-02-08,France,male,1907,Peace,"""for his decisive influence upon the conduct and outcome of the Hague and Geneva Conferences"""
677,Auguste,Beernaert,1829-07-26,1912-10-06,Belgium,male,1909,Peace,"""for their prominent position in the international movement for peace and arbitration"""
678,Léon,Bourgeois,1851-05-21,1925-09-29,France,male,1920,Peace,"""for his longstanding contribution to the cause of peace and justice and his prominent role in the establishment of the League of Nations"""
679,Hjalmar,Branting,1860-11-23,1925-02-24,Sweden,male,1921,Peace,"""for their lifelong contributions to the cause of peace and organized internationalism"""
680,John R.,Mott,1865-05-25,1955-01-31,USA,male,1946,Peace,"""for his contribution to the creation of a peace-promoting religious brotherhood across national boundaries"""
