,Firstname,Surname,Born,Died,Born country,Gender,Year,Category,Motivation
0,Niels,Bohr,1885-10-07,1962-11-18,Denmark,male,1922,Physics,"""for his services in the investigation of the structure of atoms and of the radiation emanating from them"""
1,Erwin,Schrödinger,1887-08-12,1961-01-04,Austria,male,1933,Physics,"""for the discovery of new productive forms of atomic theory"""
2,Robert,Hofstadter,1915-02-05,1990-11-17,USA,male,1961,Physics,"""for his pioneering studies of electron scattering in atomic nuclei and for his thereby achieved discoveries concerning the structure of the nucleons"""
3,Maria,Goeppert Mayer,1906-06-28,1972-02-20,Poland,female,1963,Physics,"""for their discoveries concerning nuclear shell structure"""
4,Nicolay G.,Basov,1922-12-14,2001-07-01,Russia,male,1964,Physics,"""for fundamental work in the field of quantum electronics which has led to the construction of oscillators and amplifiers based on the maser-laser principle"""
5,James,Rainwater,1917-12-09,1986-03-31,USA,male,1975,Physics,"""for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection"""
6,Barry J.,Marshall,1951-09-30,,Australia,male,2005,Medicine,"""for their discovery of the bacterium <i>Helicobacter pylori</i> and its role in gastritis and peptic ulcer disease"""
7,George F.,Smoot,1945-02-20,,USA,male,2006,Physics,"""for their discovery of the blackbody form and anisotropy of the cosmic microwave background radiation"""
8,Daniel,Nathans,1928-10-30,1999-11-16,USA,male,1978,Medicine,"""for the discovery of restriction enzymes and their application to problems of molecular genetics"""
9,Alice,Munro,1931-07-10,,Canada,female,2013,Literature,"""master of the contemporary short story"""
10,Isamu,Akasaki,1929-01-30,2021-04-01,Japan,male,2014,Physics,"""for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources"""
11,Ernst,Ruska,1906-12-25,1988-05-27,Germany,male,1986,Physics,"""for his fundamental work in electron optics and for the design of the first electron microscope"""
12,Heinrich,Rohrer,1933-06-06,2013-05-16,Switzerland,male,1986,Physics,"""for their design of the scanning tunneling microscope"""
13,John H.,Northrop,1891-07-05,1987-05-27,USA,male,1946,Chemistry,"""for their preparation of enzymes and virus proteins in a pure form"""
14,Willard F.,Libby,1908-12-17,1980-09-08,USA,male,1960,Chemistry,"""for his method to use carbon-14 for age determination in archaeology geology geophysics and other branches of science"""
15,Karl,Ziegler,1898-11-26,1973-08-12,Germany,male,1963,Chemistry,"""for their discoveries in the field of the chemistry and technology of high polymers"""
16,John,Pople,1925-10-31,2004-03-15,United Kingdom,male,1998,Chemistry,"""for his development of computational methods in quantum chemistry"""
17,Henri,La Fontaine,1854-04-22,1943-05-14,Belgium,male,1913,Peace,"""for his unparalleled contribution to the organization of peaceful internationalism"""
18,Sir Austen,Chamberlain,1863-10-16,1937-03-16,United Kingdom,male,1925,Peace,"""for his crucial role in bringing about the Locarno Treaty"""
19,Arthur,Henderson,1863-09-13,1935-10-20,Scotland,male,1934,Peace,"""for his untiring struggle and his courageous efforts as Chairman of the League of Nations Disarmament Conference 1931-34"""
20,Ralph,Bunche,1904-08-07,1971-12-09,USA,male,1950,Peace,"""for his work as mediator in Palestine in 1948-1949"""
22,Betty,Williams,1943-05-22,2020-03-17,Northern Ireland,female,1976,Peace,"""for the courageous efforts in founding a movement to put an end to the violent conflict in Northern Ireland"""
23,Yitzhak,Rabin,1922-03-01,1995-11-04,Israel,male,1994,Peace,"""for their efforts to create peace in the Middle East"""
24,Miguel Angel,Asturias,1899-10-19,1974-06-09,Guatemala,male,1967,Literature,"""for his vivid literary achievement deep-rooted in the national traits and traditions of Indian peoples of Latin America"""
25,John R.,Hicks,1904-04-08,1989-05-20,United Kingdom,male,1972,Economics,"""for their pioneering contributions to general economic equilibrium theory and welfare theory"""
26,Michael,Rosbash,1944-03-07,,USA,male,2017,Medicine,"""for their discoveries of molecular mechanisms controlling the circadian rhythm"""
27,Peter,Ratcliffe,1954-05-14,,United Kingdom,male,2019,Medicine,"""for their discoveries of how cells sense and adapt to oxygen availability"""
28,Roger,Penrose,1931-08-08,,United Kingdom,male,2020,Physics,"""for the discovery that black hole formation is a robust prediction of the general theory of relativity"""
29,Jennifer A.,Doudna,1964-02-19,,USA,female,2020,Chemistry,"""for the development of a method for genome editing"""
30,Werner,Heisenberg,1901-12-05,1976-02-01,Germany,male,1932,Physics,"""for the creation of quantum mechanics the application of which has inter alia led to the discovery of the allotropic forms of hydrogen"""
31,Isidor Isaac,Rabi,1898-07-29,1988-01-11,Poland,male,1944,Physics,"""for his resonance method for recording the magnetic properties of atomic nuclei"""
32,Robert B.,Woodward,1917-04-10,1979-07-08,USA,male,1965,Chemistry,"""for his outstanding achievements in the art of organic synthesis"""
33,George,Porter,1920-12-06,2002-08-31,United Kingdom,male,1967,Chemistry,"""for their studies of extremely fast chemical reactions effected by disturbing the equilibrium by means of very short pulses of energy"""
34,Hans,Krebs,1900-08-25,1981-11-22,Germany,male,1953,Medicine,"""for his discovery of the citric acid cycle"""
35,Frederick C.,Robbins,1916-08-25,2003-08-04,USA,male,1954,Medicine,"""for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue"""
36,Maurice,Wilkins,1916-12-15,2004-10-05,New Zealand,male,1962,Medicine,"""for their discoveries concerning the molecular structure of nucleic acids and its significance for information transfer in living material"""
37,Alan,Hodgkin,1914-02-05,1998-12-20,United Kingdom,male,1963,Medicine,"""for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane"""
38,Rodney R.,Porter,1917-10-08,1985-09-06,United Kingdom,male,1972,Medicine,"""for their discoveries concerning the chemical structure of antibodies"""
39,Werner,Arber,1929-06-03,,Switzerland,male,1978,Medicine,"""for the discovery of restriction enzymes and their application to problems of molecular genetics"""
40,Simon,van der Meer,1925-11-24,2011-03-04,the Netherlands,male,1984,Physics,"""for their decisive contributions to the large project which led to the discovery of the field particles W and Z communicators of weak interaction"""
41,Daniel C.,Tsui,1939-02-28,,China,male,1998,Physics,"""for their discovery of a new form of quantum fluid with fractionally charged excitations"""
42,Otto,Diels,1876-01-23,1954-03-07,Germany,male,1950,Chemistry,"""for their discovery and development of the diene synthesis"""
43,Dag,Hammarskjöld,1905-07-29,1961-09-18,Sweden,male,1961,Peace,"""for developing the UN into an effective and constructive international organization capable of giving life to the principles and aims expressed in the UN Charter"""
44,Mairead,Corrigan,1944-01-27,,Northern Ireland,female,1976,Peace,"""for the courageous efforts in founding a movement to put an end to the violent conflict in Northern Ireland"""
46,Jacinto,Benavente,1866-08-12,1954-07-14,Spain,male,1922,Literature,"""for the happy manner in which he has continued the illustrious traditions of the Spanish drama"""
47,Winston,Churchill,1874-11-30,1965-01-24,United Kingdom,male,1953,Literature,"""for his mastery of historical and biographical description as well as for brilliant oratory in defending exalted human values"""
48,Jean-Paul,Sartre,1905-06-21,1980-04-15,France,male,1964,Literature,"""for his work which rich in ideas and filled with the spirit of freedom and the quest for truth has exerted a far-reaching influence on our age"""
49,Günter,Grass,1927-10-16,2015-04-13,Poland,male,1999,Literature,"""whose frolicsome black fables portray the forgotten face of history"""
50,Paul A.,Samuelson,1915-05-15,2009-12-13,USA,male,1970,Economics,"""for the scientific work through which he has developed static and dynamic economic theory and actively contributed to raising the level of analysis in economic science"""
51,Robert E.,Lucas Jr.,1937-09-15,,USA,male,1995,Economics,"""for having developed and applied the hypothesis of rational expectations and thereby having transformed macroeconomic analysis and deepened our understanding of economic policy"""
52,Jeffrey C.,Hall,1945-05-03,,USA,male,2017,Medicine,"""for their discoveries of molecular mechanisms controlling the circadian rhythm"""
53,James,Peebles,1935-04-25,,Canada,male,2019,Physics,"""for theoretical discoveries in physical cosmology"""
54,Thomas A.,Steitz,1940-08-23,2018-08-23,USA,male,2009,Chemistry,"""for studies of the structure and function of the ribosome"""
55,James E.,Rothman,1950-11-03,,USA,male,2013,Medicine,"""for their discoveries of machinery regulating vesicle traffic a major transport system in our cells"""
56,Eric,Betzig,1960-01-13,,USA,male,2014,Chemistry,"""for the development of super-resolved fluorescence microscopy"""
57,Riccardo,Giacconi,1931-10-06,2018-12-16,Italy,male,2002,Physics,"""for pioneering contributions to astrophysics which have led to the discovery of cosmic X-ray sources"""
58,John B.,Fenn,1917-06-15,2010-12-10,USA,male,2002,Chemistry,"""for their development of soft desorption ionisation methods for mass spectrometric analyses of biological macromolecules"""
59,Alexei,Abrikosov,1928-06-25,2017-03-29,Russia,male,2003,Physics,"""for pioneering contributions to the theory of superconductors and superfluids"""
60,Roy J.,Glauber,1925-09-01,2018-12-26,USA,male,2005,Physics,"""for his contribution to the quantum theory of optical coherence"""
61,Yves,Chauvin,1930-10-10,2015-01-27,Belgium,male,2005,Chemistry,"""for the development of the metathesis method in organic synthesis"""
62,Robert J.,Aumann,1930-06-08,,Germany,male,2005,Economics,"""for having enhanced our understanding of conflict and cooperation through game-theory analysis"""
63,Camillo,Golgi,1843-07-07,1926-01-21,Italy,male,1906,Medicine,"""in recognition of their work on the structure of the nervous system"""
64,Jules,Bordet,1870-06-13,1961-04-06,Belgium,male,1919,Medicine,"""for his discoveries relating to immunity"""
65,Thomas H.,Morgan,1866-09-25,1945-12-04,USA,male,1933,Medicine,"""for his discoveries concerning the role played by the chromosome in heredity"""
66,Ernst B.,Chain,1906-06-19,1979-08-12,Germany,male,1945,Medicine,"""for the discovery of penicillin and its curative effect in various infectious diseases"""
67,Fritz,Lipmann,1899-06-12,1986-07-24,Russia,male,1953,Medicine,"""for his discovery of co-enzyme A and its importance for intermediary metabolism"""
68,Thomas H.,Weller,1915-06-15,2008-08-23,USA,male,1954,Medicine,"""for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue"""
69,Frédéric,Passy,1822-05-20,1912-06-12,France,male,1901,Peace,"""for his lifelong work for international peace conferences diplomacy and arbitration"""
70,Paul Henri,d'Estournelles de Constant,1852-11-22,1924-05-15,France,male,1909,Peace,"""for their prominent position in the international movement for peace and arbitration"""
71,Anjezë Gonxhe,Bojaxhiu,1910-08-26,1997-09-05,North Macedonia,female,1979,Peace,"""for her work for bringing help to suffering humanity"""
72,Nelson,Mandela,1918-07-18,2013-12-05,South Africa,male,1993,Peace,"""for their work for the peaceful termination of the apartheid regime and for laying the foundations for a new democratic South Africa"""
73,Yasser,Arafat,1929-08-24,2004-11-11,Egypt,male,1994,Peace,"""for their efforts to create peace in the Middle East"""
74,Shimon,Peres,1923-08-16,2016-09-28,Belarus,male,1994,Peace,"""for their efforts to create peace in the Middle East"""
75,Gerhart,Hauptmann,1862-11-15,1946-06-06,Poland,male,1912,Literature,"""primarily in recognition of his fruitful varied and outstanding production in the realm of dramatic art"""
76,Boris,Pasternak,1890-02-10,1960-05-30,Russia,male,1958,Literature,"""for his important achievement both in contemporary lyrical poetry and in the field of the great Russian epic tradition"""
77,Alan,MacDiarmid,1927-04-14,2007-02-07,New Zealand,male,2000,Chemistry,"""for the discovery and development of conductive polymers"""
78,Ulf,von Euler,1905-02-07,1983-03-09,Sweden,male,1970,Medicine,"""for their discoveries concerning the humoral transmitters in the nerve terminals and the mechanism for their storage release and inactivation"""
79,Albert,Claude,1898-08-24,1983-05-22,Belgium,male,1974,Medicine,"""for their discoveries concerning the structural and functional organization of the cell"""
80,Christian,de Duve,1917-10-02,2013-05-04,United Kingdom,male,1974,Medicine,"""for their discoveries concerning the structural and functional organization of the cell"""
81,Howard M.,Temin,1934-12-10,1994-02-09,USA,male,1975,Medicine,"""for their discoveries concerning the interaction between tumour viruses and the genetic material of the cell"""
82,John R.,Vane,1927-03-29,2004-11-19,United Kingdom,male,1982,Medicine,"""for their discoveries concerning prostaglandins and related biologically active substances"""
83,Christiane,Nüsslein-Volhard,1942-10-20,,Germany,female,1995,Medicine,"""for their discoveries concerning the genetic control of early embryonic development"""
84,Wilhelm Conrad,Röntgen,1845-03-27,1923-02-10,Germany,male,1901,Physics,"""in recognition of the extraordinary services he has rendered by the discovery of the remarkable rays subsequently named after him"""
85,Lawrence,Bragg,1890-03-31,1971-07-01,Australia,male,1915,Physics,"""for their services in the analysis of crystal structure by means of X-rays"""
86,Chen Ning,Yang,1922-09-22,,China,male,1957,Physics,"""for their penetrating investigation of the so-called parity laws which has led to important discoveries regarding the elementary particles"""
87,Dennis,Gabor,1900-06-05,1979-02-08,Hungary,male,1971,Physics,"""for his invention and development of the holographic method"""
88,Elizabeth H.,Blackburn,1948-11-26,,Australia,female,2009,Medicine,"""for the discovery of how chromosomes are protected by telomeres and the enzyme telomerase"""
89,Jack W.,Szostak,1952-11-09,,United Kingdom,male,2009,Medicine,"""for the discovery of how chromosomes are protected by telomeres and the enzyme telomerase"""
90,Richard F.,Heck,1931-08-15,2015-10-09,USA,male,2010,Chemistry,"""for palladium-catalyzed cross couplings in organic synthesis"""
91,Thomas C.,Südhof,1955-12-22,,Germany,male,2013,Medicine,"""for their discoveries of machinery regulating vesicle traffic a major transport system in our cells"""
92,Kofi,Annan,1938-04-08,2018-08-18,Ghana,male,2001,Peace,"""for their work for a better organized and more peaceful world"""
93,Andrea,Ghez,1965-06-16,,USA,female,2020,Physics,"""for the discovery of a supermassive compact object at the centre of our galaxy"""
94,Sydney,Brenner,1927-01-13,2019-04-05,South Africa,male,2002,Medicine,"""for their discoveries concerning genetic regulation of organ development and programmed cell death'"""
95,Anthony J.,Leggett,1938-03-26,,United Kingdom,male,2003,Physics,"""for pioneering contributions to the theory of superconductors and superfluids"""
96,Theodor W.,Hänsch,1941-10-30,,Germany,male,2005,Physics,"""for their contributions to the development of laser-based precision spectroscopy including the optical frequency comb technique"""
97,Roger D.,Kornberg,1947-04-24,,USA,male,2006,Chemistry,"""for his studies of the molecular basis of eukaryotic transcription"""
98,Luc,Montagnier,1932-08-18,2022-02-08,France,male,2008,Medicine,"""for their discovery of human immunodeficiency virus"""
99,Lars,Onsager,1903-11-27,1976-10-05,Norway,male,1968,Chemistry,"""for the discovery of the reciprocal relations bearing his name which are fundamental for the thermodynamics of irreversible processes"""
100,Yuan T.,Lee,1936-11-19,,Taiwan,male,1986,Chemistry,"""for their contributions concerning the dynamics of chemical elementary processes"""
101,Sidney,Altman,1939-05-07,2022-04-05,Canada,male,1989,Chemistry,"""for their discovery of catalytic properties of RNA"""
102,Paul J.,Crutzen,1933-12-03,2021-01-28,the Netherlands,male,1995,Chemistry,"""for their work in atmospheric chemistry particularly concerning the formation and decomposition of ozone"""
103,Bob,Dylan,1941-05-24,,USA,male,2016,Literature,"""for having created new poetic expressions within the great American song tradition"""
104,Gregg,Semenza,1956-07-12,,USA,male,2019,Medicine,"""for their discoveries of how cells sense and adapt to oxygen availability"""
105,William,Knowles,1917-06-01,2012-06-13,USA,male,2001,Chemistry,"""for their work on chirally catalysed hydrogenation reactions"""
106,A. Michael,Spence,,,USA,male,2001,Economics,"""for their analyses of markets with asymmetric information"""
108,John C.,Mather,1946-08-07,,USA,male,2006,Physics,"""for their discovery of the blackbody form and anisotropy of the cosmic microwave background radiation"""
109,Sir Martin J.,Evans,1941-01-01,,United Kingdom,male,2007,Medicine,"""for their discoveries of principles for introducing specific gene modifications in mice by the use of embryonic stem cells"""
110,Albert,Fert,1938-03-07,,France,male,2007,Physics,"""for the discovery of Giant Magnetoresistance"""
111,Peter,Grünberg,1939-05-18,2018-04-09,Czech Republic,male,2007,Physics,"""for the discovery of Giant Magnetoresistance"""
112,Ernest,Lawrence,1901-08-08,1958-08-27,USA,male,1939,Physics,"""for the invention and development of the cyclotron and for results obtained with it especially with regard to artificial radioactive elements"""
113,Percy W.,Bridgman,1882-04-21,1961-08-20,USA,male,1946,Physics,"""for the invention of an apparatus to produce extremely high pressures and for the discoveries he made therewith in the field of high pressure physics"""
114,Edward V.,Appleton,1892-09-06,1965-04-21,United Kingdom,male,1947,Physics,"""for his investigations of the physics of the upper atmosphere especially for the discovery of the so-called Appleton layer"""
115,Owen,Chamberlain,1920-07-10,2006-02-28,USA,male,1959,Physics,"""for their discovery of the antiproton"""
116,Aleksandr M.,Prokhorov,1916-07-11,2002-01-08,Australia,male,1964,Physics,"""for fundamental work in the field of quantum electronics which has led to the construction of oscillators and amplifiers based on the maser-laser principle"""
117,Leo,Esaki,1925-03-12,,Japan,male,1973,Physics,"""for their experimental discoveries regarding tunneling phenomena in semiconductors and superconductors respectively"""
118,Gustav,Stresemann,1878-05-10,1929-10-03,Germany,male,1926,Peace,"""for their crucial role in bringing about the Locarno Treaty"""
121,Alfonso,García Robles,1911-03-20,1991-09-02,Mexico,male,1982,Peace,"""for their work for disarmament and nuclear and weapon-free zones"""
122,Rudolf,Eucken,1846-01-05,1926-09-14,Germany,male,1908,Literature,"""in recognition of his earnest search for truth his penetrating power of thought his wide range of vision and the warmth and strength in presentation with which in his numerous works he has vindicated and developed an idealistic philosophy of life"""
123,Grazia,Deledda,1871-09-27,1936-08-15,Italy,female,1926,Literature,"""for her idealistically inspired writings which with plastic clarity picture the life on her native island and with depth and sympathy deal with human problems in general"""
124,Ivan,Bunin,1870-10-22,1953-11-08,Russia,male,1933,Literature,"""for the strict artistry with which he has carried on the classical Russian traditions in prose writing"""
125,Saint-John,Perse,1887-05-31,1975-09-20,Guadeloupe Island,male,1960,Literature,"""for the soaring flight and the evocative imagery of his poetry which in a visionary fashion reflects the conditions of our time"""
126,Seamus,Heaney,1939-04-13,2013-08-30,Northern Ireland,male,1995,Literature,"""for works of lyrical beauty and ethical depth which exalt everyday miracles and the living past"""
127,Lawrence R.,Klein,1920-09-14,2013-10-20,USA,male,1980,Economics,"""for the creation of econometric models and the application to the analysis of economic fluctuations and economic policies"""
128,Harry M.,Markowitz,1927-08-24,,USA,male,1990,Economics,"""for their pioneering work in the theory of financial economics"""
129,Paul,Greengard,1925-12-11,2019-04-13,USA,male,2000,Medicine,"""for their discoveries concerning signal transduction in the nervous system"""
130,Hideki,Shirakawa,1936-08-20,,Japan,male,2000,Chemistry,"""for the discovery and development of conductive polymers"""
131,Ronald,Ross,1857-05-13,1932-09-16,India,male,1902,Medicine,"""for his work on malaria by which he has shown how it enters the organism and thereby has laid the foundation for successful research on this disease and methods of combating it"""
132,Frederick G.,Banting,1891-11-14,1941-02-21,Canada,male,1923,Medicine,"""for the discovery of insulin"""
133,Ragnar,Granit,1900-10-30,1991-03-12,Finland,male,1967,Medicine,"""for their discoveries concerning the primary physiological and chemical visual processes in the eye"""
134,Marshall W.,Nirenberg,1927-04-10,2010-01-15,USA,male,1968,Medicine,"""for their interpretation of the genetic code and its function in protein synthesis"""
135,Bengt I.,Samuelsson,1934-05-21,,Sweden,male,1982,Medicine,"""for their discoveries concerning prostaglandins and related biologically active substances"""
136,Toshihide,Maskawa,1940-02-07,2021-07-23,Japan,male,2008,Physics,"""for the discovery of the origin of the broken symmetry which predicts the existence of at least three families of quarks in nature"""
137,Robert G.,Edwards,1925-09-27,2013-04-10,United Kingdom,male,2010,Medicine,"""for the development of in vitro fertilization"""
138,Ralph M.,Steinman,1943-01-14,2011-09-30,Canada,male,2011,Medicine,"""for his discovery of the dendritic cell and its role in adaptive immunity"""
139,Saul,Perlmutter,,,USA,male,2011,Physics,"""for the discovery of the accelerating expansion of the Universe through observations of distant supernovae"""
140,Sir John B.,Gurdon,1933-10-02,,United Kingdom,male,2012,Medicine,"""for the discovery that mature cells can be reprogrammed to become pluripotent"""
141,Kailash,Satyarthi,1954-01-11,,India,male,2014,Peace,"""for their struggle against the suppression of children and young people and for the right of all children to education"""
142,William C.,Campbell,1930-06-28,,Ireland,male,2015,Medicine,"""for their discoveries concerning a novel therapy against infections caused by roundworm parasites"""
143,Kai M.,Siegbahn,1918-04-20,2007-07-20,Sweden,male,1981,Physics,"""for his contribution to the development of high-resolution electron spectroscopy"""
144,Henry W.,Kendall,1926-12-09,1999-02-15,USA,male,1990,Physics,"""for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons which have been of essential importance for the development of the quark model in particle physics"""
145,Joseph H.,Taylor Jr.,1941-03-29,,USA,male,1993,Physics,"""for the discovery of a new type of pulsar a discovery that has opened up new possibilities for the study of gravitation"""
146,Henri,Moissan,1852-09-28,1907-02-20,France,male,1906,Chemistry,"""in recognition of the great services rendered by him in his investigation and isolation of the element fluorine and for the adoption in the service of science of the electric furnace called after him"""
147,Paul,Karrer,1889-04-21,1971-06-18,Russia,male,1937,Chemistry,"""for his investigations on carotenoids flavins and vitamins A and B2"""
148,David J.,Thouless,1934-09-21,2019-04-06,United Kingdom,male,2016,Physics,"""for theoretical discoveries of topological phase transitions and topological phases of matter"""
149,Tasuku,Honjo,1942-01-27,,Japan,male,2018,Medicine,"""for their discovery of cancer therapy by inhibition of negative immune regulation"""
150,Didier,Queloz,1966-02-23,,Switzerland,male,2019,Physics,"""for the discovery of an exoplanet orbiting a solar-type star"""
151,Akira,Yoshino,1948-01-30,,Japan,male,2019,Chemistry,"""for the development of lithium-ion batteries"""
152,Michael,Houghton,,,United Kingdom,male,2020,Medicine,"""for the discovery of Hepatitis C virus"""
153,Maria,Ressa,1963-10-02,,Philippines,female,2021,Peace,"""for their efforts to safeguard freedom of expression which is a precondition for democracy and lasting peace"""
154,Dmitry,Muratov,,,Russia,male,2021,Peace,"""for their efforts to safeguard freedom of expression which is a precondition for democracy and lasting peace"""
155,Carlos Filipe Ximenes,Belo,1948-02-03,,East Timor,male,1996,Peace,"""for their work towards a just and peaceful solution to the conflict in East Timor"""
156,Sully,Prudhomme,1839-03-16,1907-09-07,France,male,1901,Literature,"""in special recognition of his poetic composition which gives evidence of lofty idealism artistic perfection and a rare combination of the qualities of both heart and intellect"""
157,Bjørnstjerne,Bjørnson,1832-12-08,1910-04-26,Norway,male,1903,Literature,"""as a tribute to his noble magnificent and versatile poetry which has always been distinguished by both the freshness of its inspiration and the rare purity of its spirit"""
158,Verner,von Heidenstam,1859-07-06,1940-05-20,Sweden,male,1916,Literature,"""in recognition of his significance as the leading representative of a new era in our literature"""
159,Ernest,Hemingway,1899-07-21,1961-07-02,USA,male,1954,Literature,"""for his mastery of the art of narrative most recently demonstrated in <I>The Old Man and the Sea</I> and for the influence that he has exerted on contemporary style"""
160,Halldór,Laxness,1902-04-23,1998-02-08,Iceland,male,1955,Literature,"""for his vivid epic power which has renewed the great narrative art of Iceland"""
161,Camilo José,Cela,1916-05-11,2002-01-17,Spain,male,1989,Literature,"""for a rich and intensive prose which with restrained compassion forms a challenging vision of man's vulnerability"""
162,Wislawa,Szymborska,1923-07-02,2012-02-01,Poland,female,1996,Literature,"""for poetry that with ironic precision allows the historical and biological context to come to light in fragments of human reality"""
163,Richard,Stone,1913-08-30,1991-12-06,United Kingdom,male,1984,Economics,"""for having made fundamental contributions to the development of systems of national accounts and hence greatly improved the basis for empirical economic analysis"""
164,Daniel L.,McFadden,1937-07-29,,USA,male,2000,Economics,"""for his development of theory and methods for analyzing discrete choice"""
165,Pyotr,Kapitsa,1894-07-09,1984-04-08,Russia,male,1978,Physics,"""for his basic inventions and discoveries in the area of low-temperature physics"""
166,Gerd,Binnig,1947-07-20,,Germany,male,1986,Physics,"""for their design of the scanning tunneling microscope"""
167,Claude,Cohen-Tannoudji,1933-04-01,,Algeria,male,1997,Physics,"""for development of methods to cool and trap atoms with laser light"""
168,Otto,Wallach,1847-03-27,1931-02-26,Russia,male,1910,Chemistry,"""in recognition of his services to organic chemistry and the chemical industry by his pioneer work in the field of alicyclic compounds"""
169,Artturi,Virtanen,1895-01-15,1973-11-11,Finland,male,1945,Chemistry,"""for his research and inventions in agricultural and nutrition chemistry especially for his fodder preservation method"""
170,Nikolaas,Tinbergen,1907-04-15,1988-12-21,the Netherlands,male,1973,Medicine,"""for their discoveries concerning organization and elicitation of individual and social behaviour patterns"""
171,Renato,Dulbecco,1914-02-22,2012-02-19,Italy,male,1975,Medicine,"""for their discoveries concerning the interaction between tumour viruses and the genetic material of the cell"""
172,Baruch S.,Blumberg,1925-07-28,2011-04-05,USA,male,1976,Medicine,"""for their discoveries concerning new mechanisms for the origin and dissemination of infectious diseases"""
173,Stanley B.,Prusiner,1942-05-28,,USA,male,1997,Medicine,"""for his discovery of Prions - a new biological principle of infection"""
174,Osamu,Shimomura,1928-08-27,2018-10-19,Japan,male,2008,Chemistry,"""for the discovery and development of the green fluorescent protein GFP"""
175,Tawakkol,Karman,1979-02-07,,Yemen,female,2011,Peace,"""for their non-violent struggle for the safety of women and for women's rights to full participation in peace-building work"""
176,Arieh,Warshel,1940-11-20,,Israel,male,2013,Chemistry,"""for the development of multiscale models for complex chemical systems"""
177,John,O'Keefe,1939-11-18,,USA,male,2014,Medicine,"""for their discoveries of cells that constitute a positioning system in the brain"""
178,Shuji,Nakamura,1954-05-22,,Japan,male,2014,Physics,"""for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources"""
179,Robert A.,Millikan,1868-03-22,1953-12-19,USA,male,1923,Physics,"""for his work on the elementary charge of electricity and on the photoelectric effect"""
180,Murray,Gell-Mann,1929-09-15,2019-05-24,USA,male,1969,Physics,"""for his contributions and discoveries concerning the classification of elementary particles and their interactions"""
181,Leonid,Hurwicz,1917-08-21,2008-06-24,Russia,male,2007,Economics,"""for having laid the foundations of mechanism design theory"""
182,Manfred,Eigen,1927-05-09,2019-02-06,Germany,male,1967,Chemistry,"""for their studies of extremely fast chemical reactions effected by disturbing the equilibrium by means of very short pulses of energy"""
183,William,Lipscomb,1919-12-09,2011-04-14,USA,male,1976,Chemistry,"""for his studies on the structure of boranes illuminating problems of chemical bonding"""
184,Herbert A.,Hauptman,1917-02-14,2011-10-23,USA,male,1985,Chemistry,"""for their outstanding achievements in the development of direct methods for the determination of crystal structures"""
185,George A.,Olah,1927-05-22,2017-03-08,Hungary,male,1994,Chemistry,"""for his contribution to carbocation chemistry"""
186,Albrecht,Kossel,1853-09-16,1927-07-05,Germany,male,1910,Medicine,"""in recognition of the contributions to our knowledge of cell chemistry made through his work on proteins including the nucleic substances"""
187,Joshua,Lederberg,1925-05-23,2008-02-02,USA,male,1958,Medicine,"""for his discoveries concerning genetic recombination and the organization of the genetic material of bacteria"""
188,Oliver,Hart,1948-10-09,,United Kingdom,male,2016,Economics,"""for their contributions to contract theory"""
189,Denis,Mukwege,1955-03-01,,Democratic Republic of the Congo,male,2018,Peace,"""for their efforts to end the use of sexual violence as a weapon of war and armed conflict"""
190,Nadia,Murad,,,Iraq,female,2018,Peace,"""for their efforts to end the use of sexual violence as a weapon of war and armed conflict"""
191,Michael,Kremer,1964-11-12,,USA,male,2019,Economics,"""for their experimental approach to alleviating global poverty"""
192,David,Card,,,Canada,male,2021,Economics,"""for his empirical contributions to labour economics"""
194,Ferdinand,Buisson,1841-12-20,1932-02-16,France,male,1927,Peace,"""for their contribution to the emergence in France and Germany of a public opinion which favours peaceful international cooperation"""
195,Robert,Cecil,1864-09-14,1958-11-24,United Kingdom,male,1937,Peace,"""for his tireless effort in support of the League of Nations disarmament and peace"""
197,Elie,Wiesel,1928-09-30,2016-07-02,Romania,male,1986,Peace,"""for being a messenger to mankind: his message is one of peace atonement and dignity"""
198,T.S.,Eliot,1888-09-26,1965-01-04,USA,male,1948,Literature,"""for his outstanding pioneer contribution to present-day poetry"""
199,Juan Ramón,Jiménez,1881-12-24,1958-05-29,Spain,male,1956,Literature,"""for his lyrical poetry which in Spanish language constitutes an example of high spirit and artistical purity"""
200,Nelly,Sachs,1891-12-10,1970-05-12,Germany,female,1966,Literature,"""for her outstanding lyrical and dramatic writing which interprets Israel's destiny with touching strength"""
201,Pablo,Neruda,1904-07-12,1973-09-23,Chile,male,1971,Literature,"""for a poetry that with the action of an elemental force brings alive a continent's destiny and dreams"""
202,Isaac Bashevis,Singer,1904-07-14,1991-07-24,Poland,male,1978,Literature,"""for his impassioned narrative art which with roots in a Polish-Jewish cultural tradition brings universal human conditions to life"""
